시군구,코드,세션,C1,서버 이벤트,C2,서버 총량,서버 사용량,서버 가용량,서버 PID,C4,서버 OCI,C5,서버 로그레벨,C6,웹 이벤트,C8,웹 총량,웹 사용량,웹 가용량,웹 PID,C10,웹 로그레벨,C11,특이사항,서버 점검일,이름,연락처,웹 점검일,서버 재기동,웹 재기동
울산광역시 울주군,31710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
세종특별자치시 본청,36110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 본청,41000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 수원시,41110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 성남시,41130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 의정부시,41150,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 안양시,41170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 부천시,41190,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 광명시,41210,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 평택시,41220,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 동두천시,41250,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 안산시,41270,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 고양시,41280,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 과천시,41290,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 구리시,41310,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 남양주시,41360,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 오산시,41370,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 시흥시,41390,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 군포시,41410,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 의왕시,41430,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 하남시,41450,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 용인시,41460,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 파주시,41480,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 이천시,41500,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 안성시,41550,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 김포시,41570,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 화성시,41590,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 광주시,41610,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 양주시,41630,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 포천시,41650,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 여주군,41730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 연천군,41800,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 가평군,41820,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경기도 양평군,41830,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 본청,42000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 춘천시,42110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 원주시,42130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 강릉시,42150,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 동해시,42170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 태백시,42190,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 속초시,42210,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 삼척시,42230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 홍천군,42720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 횡성군,42730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 영월군,42750,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 평창군,42760,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 정선군,42770,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 철원군,42780,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 화천군,42790,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 양구군,42800,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 인제군,42810,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 고성군,42820,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
강원도 양양군,42830,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청북도 본청,43000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
